num,polygon
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
1,"[[0.0, 0.0], [21.74695, 0.0], [21.74695, 10.873475], [10.873475, 10.873475], [10.873475, 21.74695], [0.0, 21.74695], [0.0, 0.0]]"
